original-domain,domain-name,issuer-name,issuer-country,cert-start,cert-end,cert-duration,fuzzer,http-active,https-active,dns-ns,dns-a,dns-mx,geoip-country,banner-http,ssdeep-score
bell.ca,LBWPVDASVGWIC01.lcl.ccaas.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-04,365,original*,0,0,,,,,,
bell.ca,cicdev.lcl.ccaas.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-04,365,original*,0,0,,,,,,
bell.ca,icwebdev.lcl.ccaas.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-04,365,original*,0,0,,,,,,
bell.ca,LBWSCNFSVGDEV1.lcl.ccaas.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-04,365,original*,0,0,,,,,,
bell.ca,LBWSCNFSVGDEV3.lcl.ccaas.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-04,365,original*,0,0,,,,,,
bell.ca,rarm.dst.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-04,365,original*,0,0,,,,,,
bell.ca,askhr.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,BellmediaSharepoint.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,BuzzArchive.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,Buzz.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,efm.espace.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,Engops.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,erc.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,espace.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,fmls.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,mysite.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,QsspecialtyChannels.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-11-27,358,original*,0,0,,,,,,
bell.ca,symmetryconnect.int.bell.ca,Entrust Inc.,US,2020-12-04,2021-12-02,363,original*,0,0,,,,,,
bell.ca,UAT.DeviceHub.store.bell.ca,Entrust Inc.,US,2020-11-18,2021-12-17,394,original*,0,0,,,,,,
bell.ca,www.UAT.DeviceHub.care.bell.ca,Entrust Inc.,US,2020-11-18,2021-12-17,394,original*,0,0,,184.150.80.155,,,,
